sensorId,lat,lon,boxName,boxId,unit,temperatur_2018-12-31T23Z,temperatur_2019-01-01T00Z,temperatur_2019-01-01T01Z,temperatur_2019-01-01T02Z,temperatur_2019-01-01T03Z,temperatur_2019-01-01T04Z,temperatur_2019-01-01T05Z,temperatur_2019-01-01T06Z,temperatur_2019-01-01T07Z,temperatur_2019-01-01T08Z,temperatur_2019-01-01T09Z,temperatur_2019-01-01T10Z,temperatur_2019-01-01T11Z,temperatur_2019-01-01T12Z,temperatur_2019-01-01T13Z,temperatur_2019-01-01T14Z,temperatur_2019-01-01T15Z,temperatur_2019-01-01T16Z,temperatur_2019-01-01T17Z,temperatur_2019-01-01T18Z,temperatur_2019-01-01T19Z,temperatur_2019-01-01T20Z,temperatur_2019-01-01T21Z,temperatur_2019-01-01T22Z,temperatur_2019-01-01T23Z,temperatur_2019-01-02T00Z,temperatur_2019-01-02T01Z,temperatur_2019-01-02T02Z,temperatur_2019-01-02T03Z,temperatur_2019-01-02T04Z,temperatur_2019-01-02T05Z,temperatur_2019-01-02T06Z,temperatur_2019-01-02T07Z,temperatur_2019-01-02T08Z,temperatur_2019-01-02T09Z,temperatur_2019-01-02T10Z,temperatur_2019-01-02T11Z,temperatur_2019-01-02T12Z,temperatur_2019-01-02T13Z,temperatur_2019-01-02T14Z,temperatur_2019-01-02T15Z,temperatur_2019-01-02T16Z,temperatur_2019-01-02T17Z,temperatur_2019-01-02T18Z,temperatur_2019-01-02T19Z,temperatur_2019-01-02T20Z,temperatur_2019-01-02T21Z,temperatur_2019-01-02T22Z,temperatur_2019-01-02T23Z,temperatur_2019-01-03T00Z
59c3b5e1d67eb50011335cf3,51.956907,7.633289,Gruenes_Zentrum,59c3b5e1d67eb50011335cee,°C,9.695,9.211333333333332,8.930833333333334,8.868166666666667,8.907,8.965833333333334,8.953166666666668,8.917166666666667,8.6455,8.604999999999999,8.879344262295081,9.370166666666668,9.718666666666667,9.984833333333334,9.781833333333333,9.425666666666666,8.227,6.845666666666667,6.952666666666667,6.667666666666666,6.1706666666666665,6.386666666666667,6.2325,6.158833333333333,6.024166666666667,5.975,6.117166666666666,5.695166666666666,6.190666666666667,6.571833333333333,6.701499999999999,6.304,5.9159999999999995,6.129499999999999,6.3340000000000005,6.840333333333334,6.962166666666667,7.040666666666667,6.8965000000000005,6.581333333333333,5.941333333333334,5.197333333333333,4.698833333333334,4.009166666666667,4.316,4.206333333333333,4.347833333333333,4.569500000000001,4.2935,4.503
59c67b5ed67eb50011666dc0,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,°C,9.188833333333333,8.788499999999999,8.584833333333334,8.4715,8.499,8.471833333333333,8.443666666666667,8.493,8.4285,8.4355,8.670166666666667,9.117833333333333,9.404333333333334,10.1915,10.185666666666666,9.108032786885246,8.161833333333332,7.022,6.728166666666667,6.403499999999999,5.981833333333333,5.836333333333333,5.804166666666666,5.680666666666666,5.599833333333334,5.536833333333333,5.718,5.410666666666667,5.772666666666667,6.183000000000001,6.385166666666667,5.854833333333334,5.432833333333334,5.772166666666666,8.2205,10.6455,10.026666666666667,9.424833333333334,8.8445,7.2604999999999995,5.944,4.821166666666667,4.07304347826087,,,,,,,
5a0c15289fd3c200110f3d3a,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,°C,9.602,9.037666666666667,8.761833333333334,8.724833333333333,8.724,8.741166666666667,8.741000000000001,8.682333333333332,8.342666666666666,8.312000000000001,8.693666666666667,9.157833333333334,9.412333333333333,9.754,9.667166666666667,9.238666666666667,8.141333333333334,6.922666666666667,7.1375,6.656333333333333,6.2995,6.410666666666667,6.245666666666667,6.130833333333333,6.001186440677966,5.964666666666667,6.069833333333333,5.6065,6.129333333333333,6.520833333333333,6.673500000000001,6.218666666666667,5.827666666666667,5.9525,6.183000000000001,7.055833333333334,7.163666666666667,7.146333333333333,6.980833333333334,6.4815,5.721166666666666,4.917833333333333,4.649666666666667,4.192166666666667,4.051833333333333,3.948,3.9598333333333335,4.143166666666667,4.063166666666667,4.1745
5a0c2cc89fd3c200111118f7,51.960435,7.641426,Umwelthaus Münster,5a0c2cc89fd3c200111118f0,°C,9.396666666666667,8.8975,8.596166666666667,8.592333333333332,8.637166666666667,8.659166666666666,8.670333333333334,8.626101694915254,8.258666666666667,8.258333333333333,8.617666666666667,9.061666666666667,9.419333333333332,9.761666666666667,9.607666666666667,9.228833333333334,8.17322033898305,7.103,7.076949152542373,6.723833333333333,6.336,6.396833333333333,6.166833333333333,6.040333333333334,5.9225,5.86406779661017,6.010000000000001,5.639166666666667,6.007000000000001,6.3785,6.474833333333334,6.039333333333333,5.7065,5.881186440677967,6.131896551724138,6.918666666666667,7.146333333333333,7.020666666666667,6.693,6.314333333333334,5.524666666666667,4.694,4.206666666666667,4.033833333333333,4.376666666666667,4.084,4.099152542372881,4.163,4.0465,4.1795
5a0c30489fd3c20011115fbe,51.970725,7.631443,Nordschänke,5a0c30489fd3c20011115fb7,°C,9.381666666666666,8.997000000000002,8.647166666666667,8.659833333333333,8.722833333333334,8.772,8.758666666666667,8.7095,8.326333333333332,8.363666666666667,8.792,9.2665,9.769,11.746,10.058166666666667,9.55,8.643666666666666,7.615084745762712,7.622931034482758,7.210166666666667,6.5645,6.613770491803279,6.463666666666667,6.361666666666666,6.265333333333333,6.199166666666667,6.452166666666667,6.039833333333333,6.501,6.907333333333333,6.909833333333333,6.429666666666666,6.149500000000001,6.4355,6.600499999999999,8.255166666666666,10.077666666666666,9.634333333333332,7.832833333333334,7.3005,6.325166666666666,5.402,4.901833333333333,4.260666666666667,4.360338983050847,4.1498333333333335,4.2908333333333335,4.4855,4.3998333333333335,4.524666666666667
5a0c347b9fd3c2001111b708,51.921125,7.620665,VennheideBox,5a0c347b9fd3c2001111b701,°C,8.739166666666668,8.255166666666666,7.960666666666667,7.925333333333333,8.0055,8.043833333333334,8.084833333333332,8.02,7.733333333333333,7.7043333333333335,7.9334999999999996,8.395737704918032,8.626166666666668,8.729830508474576,8.759500000000001,8.422333333333333,7.571833333333333,6.5355,6.316166666666666,5.993166666666666,5.856166666666667,5.845166666666667,5.623666666666667,5.498833333333334,5.3895,5.3955,5.4135,4.9511666666666665,5.354666666666666,5.700833333333334,5.9655000000000005,5.424833333333334,4.982666666666666,5.077666666666667,5.433000000000001,6.100333333333333,6.316333333333334,6.283166666666667,6.099333333333333,5.742,4.926666666666667,3.633666666666667,1.8013333333333332,1.4163333333333334,1.4978333333333333,1.4396666666666667,1.2096666666666667,1.9301666666666668,2.2115,2.9778333333333333
5a30ea5375a96c000f012fe7,51.951978,7.628977,Münster Süd,5a30ea5375a96c000f012fe0,°C,9.455333333333334,8.874166666666667,8.644666666666666,8.661,8.654166666666667,8.689166666666667,8.687333333333333,8.667499999999999,8.378166666666667,8.416,8.777166666666666,9.352666666666666,9.663166666666665,11.273833333333332,10.401333333333334,9.427333333333333,8.2905,7.161666666666666,7.126666666666667,6.7655,6.375666666666667,6.440333333333333,6.230833333333334,6.113166666666667,6.012833333333333,5.9635,6.0835,5.652166666666667,6.162833333333333,6.605,6.725833333333333,6.215833333333333,5.7825,6.112166666666667,8.750666666666666,7.609333333333334,7.7044999999999995,10.069833333333332,9.3795,7.012666666666666,5.958644067796611,5.092666666666667,4.197,3.8286666666666664,4.107,3.8256666666666663,3.8406666666666665,4.019166666666667,3.9705,4.197666666666667
5a687677411a79001944413a,51.959126,7.605076,AFO Uni Münster,5a687677411a790019444133,°C,9.621666666666666,9.136666666666667,8.804333333333334,8.845333333333334,8.923166666666667,8.986833333333333,9.029333333333334,8.981833333333332,8.684166666666666,8.690166666666666,9.040833333333333,9.517333333333333,9.8165,10.642666666666667,10.515333333333333,9.514999999999999,8.381499999999999,7.156000000000001,7.171666666666667,6.824166666666667,6.584666666666666,6.600666666666667,6.429166666666666,6.3155,6.2165,6.148666666666667,6.207,5.756333333333333,6.335333333333334,6.808333333333334,6.915166666666667,6.412333333333334,5.947500000000001,6.336,6.807833333333333,7.512333333333333,8.107333333333333,8.688833333333333,9.469333333333333,7.416833333333333,6.103166666666667,5.114,4.443833333333333,4.138333333333334,4.398166666666667,4.219333333333333,4.277666666666667,4.4165,4.293333333333334,4.507499999999999
5a809753398b820011b45e88,51.953156,7.544077,Jackson Storm,5a809753398b820011b45e83,°C,9.080833333333334,8.567666666666666,8.332166666666668,8.375833333333334,8.426833333333333,8.451,8.461666666666666,8.4025,8.099833333333333,8.137333333333334,8.5305,9.0185,9.283666666666667,9.568166666666666,9.669833333333335,9.167833333333334,8.277,7.387166666666667,7.153833333333334,6.727666666666666,6.607666666666666,6.406499999999999,6.236166666666667,6.225833333333333,6.1530000000000005,6.136,6.121166666666666,5.8945,6.266333333333334,6.551166666666666,6.678833333333333,6.092666666666667,5.7365,6.042459016393442,6.245833333333334,7.026333333333333,7.534166666666667,7.441666666666666,7.312833333333333,6.9775,5.634166666666667,4.484666666666667,3.6986666666666665,2.6685000000000003,3.0046666666666666,3.129833333333333,3.2546666666666666,3.878,4.019666666666667,4.4175
5ab3dd50850005001bd25b5a,51.972139,7.642386,Wetterfuchs home,5ab3dd50850005001bd25b55,°C,,9.196363636363635,,,,,8.987380952380951,8.947619047619048,8.573902439024389,8.573333333333332,8.938095238095238,9.36560975609756,9.637857142857143,10.355238095238096,9.74952380952381,9.402439024390244,8.26452380952381,7.331666666666667,7.304146341463414,6.929024390243902,6.381190476190476,6.487619047619048,6.330487804878049,6.269285714285714,,,,,,,6.728809523809524,6.259047619047619,5.983902439024391,6.240476190476191,6.424878048780489,7.187380952380953,7.414761904761905,7.454047619047619,7.075952380952381,6.594390243902439,5.764285714285714,4.741666666666667,3.9809756097560975,3.5914285714285716,4.160952380952381,3.8854761904761905,4.297073170731707,4.26047619047619,,
5abd221b850005001b1aff37,51.973023,7.64153,Feinstaub_MS_PIUSALLEE,5abd221b850005001b1aff35,°C,17.670833333333334,17.4375,17.279166666666665,17.658333333333335,17.7625,17.770833333333332,17.7625,17.741666666666667,17.733333333333334,17.57916666666667,18.029166666666665,18.354166666666668,18.266666666666666,18.741666666666667,18.283333333333335,18.108333333333334,18.087500000000002,17.55,17.4875,17.462500000000002,17.325,17.291666666666668,17.145833333333332,17.083333333333332,17.016666666666666,16.895833333333332,16.879166666666666,16.587500000000002,16.570833333333333,16.545833333333334,16.625,16.75,15.872727272727273,15.55,16.55263157894737,16.59,16.905,15.970833333333333,16.16190476190476,16.520833333333332,16.379166666666666,16.1625,16.158333333333335,15.733333333333334,15.908333333333333,15.75,15.8375,15.649999999999999,15.52857142857143,15.538095238095238
5ac9be65c4edec00190439f1,51.976309,7.626046,PGKN FS01 - Schule,5ac9be65c4edec00190439ef,°C,9,8.566666666666666,8.291666666666666,8.3,8.369565217391305,8.42,8.466666666666667,8.425,8.04782608695652,7.992000000000001,8.358333333333333,8.941666666666666,9.291666666666666,9.987499999999999,9.316666666666666,8.887500000000001,7.516666666666667,6.1499999999999995,6.233333333333333,5.970833333333334,5.295833333333333,5.595833333333334,5.408333333333334,5.416666666666667,5.420833333333333,5.333333333333333,5.558333333333334,5.154166666666667,5.491666666666667,6.016666666666667,6.258333333333333,5.664,5.257142857142857,5.526315789473684,5.536842105263158,6.45,6.584999999999999,6.591666666666666,6.245,5.745833333333334,4.688,3.5541666666666667,2.9250000000000003,2.5708333333333333,3.1166666666666667,2.845833333333333,3.2916666666666665,3.4499999999999997,3.3523809523809525,3.7142857142857144
5ac9edb1c4edec00190b2147,51.980717,7.65084,PGKN FS02 - Rumphorst,5ac9edb1c4edec00190b2145,°C,9.147368421052633,8.75,8.523076923076923,8.485714285714286,8.483333333333333,8.536363636363637,8.52,8.492857142857144,8.238888888888887,8.18235294117647,8.61578947368421,9.136363636363637,9.64,10.523809523809524,9.453571428571427,8.966666666666667,7.375,5.928571428571429,6.058333333333334,5.791666666666667,5.095000000000001,5,5.185714285714285,5.134782608695652,5.232142857142857,5.068965517241379,5.30344827586207,4.93448275862069,5.427586206896552,5.868965517241379,5.810344827586207,5.165517241379311,4.9,5.177272727272727,5.239999999999999,6.158823529411765,6.376,6.296428571428572,5.9913043478260875,5.362068965517241,4.1535714285714285,2.753333333333333,1.7384615384615385,1.3793103448275863,2.6633333333333336,1.9892857142857143,2.7896551724137932,3.048275862068966,3.1,3.448
5acfae2a223bd8001977b620,51.988501,7.646677,PGKN FS03,5acfae2a223bd8001977b61e,°C,7.920833333333333,7.629166666666666,7.425000000000001,7.388000000000001,7.416666666666667,7.533333333333334,7.5125,7.545833333333333,7.254166666666666,7.228,7.533333333333334,7.958333333333333,8.225,8.995833333333334,8.312,7.895833333333333,6.558333333333334,5.608333333333333,5.5874999999999995,5.291666666666667,4.729166666666667,4.8625,4.704000000000001,4.713043478260869,4.670833333333333,4.558333333333334,4.720833333333333,4.395833333333333,4.720833333333333,5.26,5.391666666666667,4.8125,4.4,4.6000000000000005,5.013636363636364,5.918181818181818,6.186956521739131,6.054166666666666,5.791304347826086,5.220833333333333,4.1000000000000005,2.5708333333333333,1.6,1.2583333333333333,1.7249999999999999,1.5041666666666667,1.736,2.0083333333333333,2.090909090909091,2.517391304347826
5ae36891223bd8001972fb54,51.957807,7.642804,PGKN FS05,5ae36891223bd8001972fb52,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.727777777777778,5.01,4.194444444444445,3.6761904761904765,3.4375,3.5625,3.3958333333333335,3.4625,3.6958333333333333,3.5333333333333337,3.6399999999999997
5ae36a64223bd80019734631,51.973884,7.615585,PGKN FS07,5ae36a64223bd8001973462f,°C,11.341666666666667,11.058333333333332,10.767999999999999,10.6625,10.6,10.625,10.675999999999998,10.608333333333333,10.529166666666667,10.396,10.441666666666666,10.795833333333334,11.145833333333334,11.444,11.508333333333333,11.216666666666667,10.995833333333332,9.908333333333333,9.671999999999999,9.370833333333334,9.079166666666667,9.029166666666667,8.9125,8.708,8.5375,8.5,8.512500000000001,8.383333333333335,8.456,8.808333333333334,9.133333333333333,8.858333333333333,8.583333333333334,8.627272727272727,10.104545454545455,16.17142857142857,15.469565217391304,11.054166666666667,10.530434782608696,9.625,8.916666666666666,7.972,7.1000000000000005,6.75,6.6125,6.648,6.5249999999999995,6.795833333333333,6.51304347826087,6.660869565217391
5b2689841fef04001b7af54c,51.966853,7.661677,Euglers Wetterstation,5b2689841fef04001b7af54a,°C,8.747272727272726,8.26,7.945454545454545,7.901818181818182,7.9399999999999995,8.02,8.045454545454545,8.049090909090909,7.7407407407407405,7.721818181818182,8.07090909090909,8.505454545454546,8.8,9.896363636363635,9.05,8.6,7.489090909090908,6.501818181818182,6.365454545454546,6.03888888888889,5.547272727272727,5.6490909090909085,5.456363636363637,5.385454545454545,5.289090909090909,5.209090909090909,5.369090909090909,5.083636363636364,5.425454545454545,5.863636363636363,6.014545454545455,5.549090909090909,5.206521739130435,5.288571428571428,7.290909090909091,8.997222222222222,8.635,8.667272727272728,8.576923076923077,7.670909090909091,5.9799999999999995,4.483636363636363,3.6357142857142857,3.1018518518518516,3.292857142857143,3.2636363636363637,3.481818181818182,3.6574074074074074,3.4048780487804877,3.5595238095238093
5b2cc9471fef04001b7b4b44,51.928442,7.667642,TTN Device 1,5b2cc9471fef04001b7b4b3f,°C,15.2,14.855555555555554,14.485714285714286,14.036363636363637,14.133333333333333,13.9625,13.725,13.55,13.3,13.216666666666667,13.5,14.088888888888889,14.74,16.619999999999997,17.77777777777778,16.62857142857143,14.819999999999999,12.933333333333332,12.38,12.18,10.922222222222222,10.183333333333332,9.742857142857144,9.763636363636364,9.66,9.35,9.200000000000001,9.200000000000001,9.15,9.98,11.116666666666667,11.483333333333334,11.459999999999999,11.52,13.633333333333333,20.580000000000002,24.585714285714285,24.25,19.619999999999997,16.357142857142858,14.7,12.271428571428572,10.75,9.85,9.22,8.5,8.059999999999999,8.01,7.8428571428571425,7.98888888888889
